id_area_x_municipio;id_tipo_incidente;historico
0;0;
14069;40406;
14069;40407;
14069;40408;
14069;40409;
14069;40410;
14069;40411;
14069;40412;
14069;40413;
14069;53047;
14148;41031;
14446;43101;
14446;43102;
14446;43103;
14446;43104;
14446;50594;
14446;50595;
14446;50596;
14446;50597;
14446;50598;
14630;43105;
14630;44532;
14630;44533;
14630;44534;
14630;44535;
14630;44536;
14630;44537;
14634;44615;
14750;45511;
14750;53997;
14750;53998;
14750;53999;
14750;54000;
14750;54001;
14750;54002;
14750;54003;
14750;54004;
14751;45513;
14751;45842;
14751;50190;
14751;53062;
14931;47176;
14931;47177;
14931;47178;
14931;47179;
14931;47180;
14931;47181;
14931;47182;
14931;47183;
14931;47184;
14931;47185;
14932;47186;
14932;47187;
14932;47188;
14932;47189;
14932;47190;
14932;47191;
14932;47192;
14932;47193;
14932;47194;
14933;47195;
14933;47196;
14933;47197;
14933;47198;
14933;47199;
14933;47200;
14933;47201;
14933;47202;
14933;47203;
14933;47204;
14933;47205;
14934;47206;
14934;47207;
14934;47208;
14934;47209;
14934;47210;
14934;47211;
14935;47212;
14935;47213;
14935;47214;
14935;47215;
14935;47216;
14935;47217;
14936;47218;
14936;47219;
14936;47220;
14936;47221;
14936;47222;
14952;47317;
14952;47318;
14952;47319;
14952;47320;
14952;47321;
14952;47322;
14952;47323;
15055;48327;
15081;48546;
15145;49061;
15145;49062;
15145;49063;
15145;49064;
15145;49065;
15145;53430;
15145;53431;
15145;53432;
15145;53433;
15145;53434;
15145;53435;
15145;53436;
15145;53438;
15305;50350;
15305;50351;
15305;50352;
15305;50353;
15305;50354;
15305;50355;
15306;50356;
15306;50360;
15306;50361;
15306;50362;
15306;50363;
15306;50364;
15306;50365;
15306;50366;
15306;50367;
15306;50368;
15306;50369;
15306;50370;
15306;50373;
15306;50374;
15307;50371;
15307;50372;
15307;50375;
15307;50376;
15307;50377;
15307;50378;
15307;50379;
15307;50380;
15307;50381;
15307;50382;
15307;50383;
15307;50384;
15307;50385;
15307;50386;
15307;50387;
15307;50388;
15307;50389;
15307;50390;
15307;50391;
15307;50392;
15307;50937;
15308;50393;
15308;50394;
15309;50395;
15309;50396;
15309;50397;
15309;50398;
15309;50399;
15309;50400;
15309;50401;
15309;50402;
15309;50403;
15309;50404;
15309;50405;
15309;50406;
15309;50407;
15309;50408;
15309;50409;
15309;50410;
15309;50411;
15309;50412;
15309;50413;
15309;50414;
15309;50415;
15310;50416;
15310;50417;
15310;50418;
15310;50419;
15310;50420;
15310;50421;
15310;50422;
15310;50423;
15310;50424;
15310;50425;
15311;50426;
15311;54495;
15312;50427;
15312;50428;
15312;50429;
15312;50430;
15313;50431;
15314;50432;
15315;50433;
15315;50434;
15315;50435;
15315;50436;
15315;50437;
15315;50438;
15315;50439;
15315;50440;
15316;50441;
15316;50442;
15316;50443;
15316;50444;
15316;50445;
15316;50446;
15317;50638;
15317;52793;
15317;52863;
15317;53048;
15362;50653;
15575;51389;
15575;51390;
15575;51391;
15575;51392;
15575;51393;
15575;51394;
15575;51395;
15575;51396;
15575;51397;
15575;51398;
15575;51399;
15575;51400;
15575;51401;
15575;51402;
15575;51403;
15575;51404;
15575;51405;
15575;51406;
15575;51407;
15575;51408;
15575;51409;
15575;51410;
15599;51549;
15599;51550;
15599;51551;
15599;51552;
15599;51553;
15599;51554;
15599;51555;
15599;51556;
15599;51557;
15599;51558;
15599;51559;
15599;51560;
15599;51561;
15599;51562;
15599;51563;
15599;51564;
15599;51565;
15599;51566;
15599;51567;
15599;51568;
15599;51569;
15599;51570;
15599;51571;
15599;51572;
15599;51573;
15599;51574;
15599;51575;
15599;51576;
15599;51577;
15599;51578;
15599;51579;
15599;51580;
15599;51581;
15599;51582;
15599;51583;
15599;51584;
15599;51585;
15599;51586;
15599;51587;
15599;51588;
15599;51589;
15599;51590;
15599;51591;
15599;51592;
15599;51593;
15599;51594;
15599;51595;
15599;51596;
15599;51597;
15599;51598;
15599;51599;
15599;51600;
15599;51601;
15599;51602;
15599;51716;
15599;51717;
15599;51718;
15599;52802;
15599;52803;
15599;52804;
15599;52805;
15599;52829;
15662;52261;
15672;52328;
15672;52329;
15673;52330;
15673;52331;
15673;52332;
15673;52333;
15673;52334;
15673;52335;
15673;52336;
15673;52337;
15674;52338;
15674;52339;
15674;52340;
15674;52341;
15674;52342;
15674;52343;
15674;52344;
15674;52373;
15674;52374;
15675;52345;
15677;52348;
15677;52349;
15677;52358;
15678;52350;
15678;52351;
15678;52352;
15678;52353;
15678;52354;
15678;52355;
15678;52356;
15678;52357;
15678;52382;
15678;52383;
15678;52384;
15679;52359;
15679;52360;
15679;52361;
15679;52362;
15679;52363;
15680;52364;
15680;52365;
15680;52366;
15680;52381;
15681;52367;
15682;52368;
15682;52369;
15683;52370;
15683;52371;
15683;52372;
15707;52663;
15707;52664;
15707;52665;
15707;52666;
15707;52667;
15707;52668;
15707;52669;
15707;52670;
15707;52671;
15707;52672;
15707;52673;
15780;53131;
15780;53132;
15780;53133;
15780;53134;
15780;53135;
15780;53136;
15780;53137;
15780;53138;
15780;53139;
15781;53140;
15781;53141;
15781;53142;
15781;53143;
15781;53144;
15782;53145;
15782;53146;
15782;53147;
15782;53148;
15782;53149;
15782;53150;
15782;53151;
15782;53152;
15782;53153;
15783;53154;
15783;53155;
15783;53156;
15784;53157;
15784;53158;
15784;53159;
15784;53160;
15784;53161;
15784;53162;
15784;53163;
15784;53164;
15784;53165;
15785;53166;
15785;53167;
15785;53168;
15785;53169;
15785;53170;
15785;53171;
15785;53172;
15785;53173;
15786;53174;
15786;53175;
15786;53176;
15786;53177;
15786;53178;
15786;53179;
15809;53514;
15809;53515;
15809;53516;
15809;53517;
15809;53518;
15810;53519;
15810;53520;
15810;53521;
15810;53522;
15810;53523;
15822;53581;
15822;53582;
15871;53872;
15871;53873;
